movie_name,release_year,budget,box_office,profit,actor,actor_fee,director,genre,imdb_rating
Shadow 0,2003,23427546.0,769661336.0,746233790,Ranbir Kapoor,151475314,Sanjay Leela Bhansali,Comedy,8.1
Queen 1,2001,25997261.0,76601763.0,50604502,Akshay Kumar,144908867,Rajkumar Hirani,Musical,5.1
Legend 2,2008,444559665.0,1327963779.0,883404114,Aamir Khan,427381601,Imtiaz Ali,Fantasy,5.9
Zara 3,2012,61924210.0,397375381.0,335451171,Kangana Ranaut,204659822,Zoya Akhtar,Action,8.0
Warrior 4,2009,,1080280081.0,624996843,Kartik Aaryan,495373285,Anurag Kashyap,Romance,7.9
Zara 5,2007,475189878.0,533639338.0,58449460,Ajay Devgn,169235943,Siddharth Anand,Horror,4.9
Shadow 6,2020,48333930.0,652383366.0,604049436,Alia Bhatt,111879360,Sanjay Leela Bhansali,Comedy,6.5
Raja 7,2021,184097967.0,1039103320.0,855005353,Kareena Kapoor,436611783,Rajkumar Hirani,Romance,8.5
Mission 8,2018,480496285.0,1201350864.0,720854579,Ranveer Singh,134153005,Siddharth Anand,Fantasy,8.9
Fire 9,2017,299361229.0,531477884.0,232116655,Deepika Padukone,333847215,Karan Johar,Fantasy,6.0
Storm 10,2001,472301106.0,540035967.0,67734861,Salman Khan,356857528,Imtiaz Ali,Fantasy,7.3
Hero 11,2017,472127581.0,1434055016.0,961927435,Aamir Khan,385224372,Rohit Shetty,Musical,8.1
Sultan 12,2014,11742315.0,985894366.0,974152051,Deepika Padukone,490219965,Zoya Akhtar,Musical,8.2
Love 13,2020,282549434.0,886426219.0,603876785,Akshay Kumar,102054959,Anurag Kashyap,Comedy,
King 14,2015,20456496.0,90573550.0,70117054,Ranveer Singh,491760214,Zoya Akhtar,Romance,4.3
Tiger 15,2026,47158185.0,813848538.0,766690353,Ayushmann Khurrana,431154230,Imtiaz Ali,Comedy,7.6
Legend 16,2013,123708292.0,1071121563.0,947413271,Ayushmann Khurrana,425479914,Sanjay Leela Bhansali,Thriller,6.2
Tiger 17,2003,143093315.0,334360246.0,191266931,Shah Rukh Khan,201508307,Rajkumar Hirani,Musical,5.3
Raja 18,2002,496093668.0,479823074.0,-16270594,Kangana Ranaut,197397447,Rohit Shetty,Musical,5.3
Mission 19,2018,319351272.0,776877926.0,457526654,Akshay Kumar,441239347,Siddharth Anand,Fantasy,5.0
Tiger 20,2023,39082932.0,712102604.0,673019672,Alia Bhatt,366915112,Rohit Shetty,Action,6.2
Raja 21,2017,250847567.0,351367164.0,100519597,Ajay Devgn,118509390,Zoya Akhtar,Crime,5.4
Warrior 22,2003,37159403.0,687394649.0,650235246,Ayushmann Khurrana,468838894,Rajkumar Hirani,Drama,9.1
Raja 23,2012,494495326.0,507454610.0,12959284,Salman Khan,223459644,Rajkumar Hirani,Fantasy,5.5
Fire 24,2025,308375846.0,969054750.0,660678904,Deepika Padukone,281279727,Imtiaz Ali,Romance,5.6
Fire 25,2010,40690373.0,44530293.0,3839920,Kartik Aaryan,275973885,Imtiaz Ali,Action,9.3
Shadow 26,2007,226775349.0,305502615.0,78727266,Kartik Aaryan,152185858,Rajkumar Hirani,Drama,6.3
Raja 27,2021,394502545.0,681854903.0,287352358,Akshay Kumar,162600706,Karan Johar,Comedy,7.7
Zara 28,2000,256040164.0,873004831.0,616964667,Kartik Aaryan,73677026,Rohit Shetty,Musical,5.2
Mission 29,2007,208388346.0,464391230.0,256002884,Salman Khan,255248548,Zoya Akhtar,Musical,4.0
Mission 30,2004,151984061.0,225924648.0,73940587,Shah Rukh Khan,418581923,Imtiaz Ali,Thriller,5.5
Love 31,2008,281339422.0,,474557080,Ranbir Kapoor,474248472,Rajkumar Hirani,Drama,7.5
Sultan 32,2020,150636163.0,274133490.0,123497327,Deepika Padukone,257208633,Karan Johar,Musical,4.1
Warrior 33,2001,458069789.0,804512435.0,346442646,Kartik Aaryan,316634652,Imtiaz Ali,Fantasy,4.7
Love 34,2001,492606488.0,826801225.0,334194737,Akshay Kumar,386181766,Sanjay Leela Bhansali,Drama,5.9
Fire 35,2004,137097385.0,1015460686.0,878363301,Salman Khan,449436077,Imtiaz Ali,Fantasy,4.1
Storm 36,2021,473890840.0,1213152859.0,739262019,Kareena Kapoor,153233772,Zoya Akhtar,Comedy,8.3
Raja 37,2006,448401594.0,1384581814.0,936180220,Hrithik Roshan,207721436,Zoya Akhtar,Romance,5.2
Zara 38,2024,,486894375.0,327040284,Alia Bhatt,293485089,Karan Johar,Musical,5.8
